tmdb_film_id,tmdb_person_id,character,,
129,19589,Yubaba,,
129,19590,Chihiro's Father,,
129,19591,Chihiro's Mother,,
129,19592,Aogaeru,,
129,19594,Lin,,
129,20334,Chichiyaku,,
129,40450,Bandai-gaeru,,
129,119243,Kamajî,,
129,225730,Bôh,,
129,544088,Aniyaku,,
129,554423,Kawa no Kami,,
134,1010,George Nelson,,
134,1230,Big Dan Teague,,
134,1241,Pete,,
134,1461,Everett Ulysses McGill,,
134,1462,Delmar,,
134,1465,Tommy Johnson,,
134,1466,Pappy O'Daniel,,
134,1467,Junior O'Daniel,,
134,1468,Pappy's Staff,,
134,1469,Pappy's Staff,,
134,1470,Homer Stokes,,
134,1471,The Little Man,,
134,1472,Vernon T. Waldrip,,
134,1473,Sheriff Cooley,,
134,1474,Siren,,
134,1475,Siren,,
134,1476,Siren,,
134,1478,Pomade Vendor,,
134,1479,Wash Hogwallop,,
134,1480,Boy Hogwallop,,
134,1481,Blind Seer,,
134,18686,Penny,,
136,1505,Phroso,,
136,1507,Venus,,
136,1508,Cleopatra,,
136,1509,Roscoe,,
136,1510,Hercules,,
136,1511,Hans,,
136,1512,Frieda,,
136,1513,Madame Tetrallini,,
136,1514,Siamesische Zwillinge,,
136,1515,Siamesische Zwillinge,,
136,1516,Schlitze,,
136,1517,Zwitter,,
136,1519,Koo Koo,,
136,1521,der lebende Torso,,
136,1522,der Junge ohne Unterleib,,
136,1523,das menschliche Skeltett,,
136,18348,Armlose,,
137,335,Fred,,
137,537,Ned Ryerson,,
137,1524,Neurologist,,
137,1532,Phil Connors,,
137,1533,Rita,,
137,1534,Larry,,
137,1535,Buster Green,,
137,1537,Mrs. Lancaster,,
137,1538,Gus,,
137,1539,Ralph,,
137,1540,"Doris, the Waitress",,
137,1542,Kenny,,
137,236327,Man in Hallway,,
140,101,Mónica,,
140,258,Ángel/Juan/Zahara,,
140,309,Pool cleaner (uncredited),,
140,952,Enrique's pool attendant (uncredited),,
140,1602,Enrique,,
140,1603,Padre Manolo,,
140,1604,Sr. Manuel Berenguer,,
140,1605,Padre José,,
140,1606,Ignacio,,
140,1608,Young Ignacio,,
140,1609,Young Enrique,,
140,1610,Paca/Paquito,,
140,1611,Enrique Serrano,,
140,73572,Soledad (archive footage) (uncredited),,
140,132999,Madre,,
140,586106,Niño (uncredited),,
140,1061872,Camarero,,
140,1284938,Martín,,
141,131,Donnie Darko,,
141,723,Jim Cunningham,,
141,1578,Eddie Darko,,
141,1579,Elizabeth Darko,,
141,1580,Samantha Darko,,
141,1581,Mrs. Rose Darko,,
141,1582,Frank,,
141,1583,Dr. Fisher,,
141,1584,Police Officer,,
141,1585,Roberty Sparrow / Grandma Death,,
141,1598,Bob Garland,,
141,1599,Joanie James,,
141,5151,Kitty Farmer,,
141,9594,Dr. Lilian Thurman,,
141,10383,Anne Fisher,,
141,13526,Prof. Kenneth Monnitoff,,
141,20088,Cherita Chen,,
141,20089,Gretchen Ross,,
141,20090,Principal Cole,,
141,20091,Susie Bates,,
141,20092,Emily Bates,,
141,20093,David,,
141,20094,Sean Smith,,
141,20095,Seth Devlin,,
141,69597,Karen Pomeroy,,
141,156011,Ronald Fisher,,
142,131,Jack Twist,,
142,1772,LaShawn,,
