event_director_id,name,,,
80,Alfonso Arau,,,
81,Alfonso Corona Blake,,,
82,Alfonso Cuarón,,,
83,Alfonso Sánchez,,,
84,Alfonso Zarauza,,,
85,Alfred Hitchcock,,,
86,Alfredo B Crevenna,,,
87,Alfredo Cozzi,,,
88,Alice Nellis,,,
89,Alice Rohrwacher,,,
90,Alison Grist,,,
91,Alison Klayman,,,
92,Alison Maclean,,,
93,Alison Peebles,,,
94,Alix Delaporte,,,
95,Allen Hughes,,,
96,Aluizio Abranches,,,
97,Amat Escalante,,,
98,Amir Bar-Lev,,,
99,Amit Dutta,,,
100,Amma Asante,,,
101,Amos Gitai,,,
102,Amy Heckerling,,,
103,Ana Katz,,,
104,Ana Poliak,,,
105,Ana Pérez,,,
106,Anahi Berneri,,,
107,Anand Patwardhan,,,
108,Anat Halachmi,,,
109,Anders Morgenthaler,,,
110,Anders Rønnow-Klarlund,,,
111,Ando Hiroshi,,,
112,Andrea Arnold,,,
113,Andrea Esteban,,,
114,Andreas Dresen,,,
115,Andrei Kravchuk,,,
116,Andrei Tarkovsky,,,
117,Andrei Ujica,,,
118,Andrei Zvyagintsev,,,
119,Andrew Bujalski,,,
120,Andrew Davis,,,
121,Andrew Dominik,,,
122,Andrew Haigh,,,
123,Andrew Jarecki,,,
124,Andrew Kötting,,,
125,Andrew Leavold,,,
126,Andrew Parker,,,
127,Andrew Quigley,,,
128,Andrew lang,,,
129,Andrey Paounov,,,
130,Andrey Zvyagintsev,,,
131,Andrucha Waddington,,,
132,Andrzej Czeczot,,,
133,Andrzej Saramonowicz,,,
134,Andrzej Wajda,,,
135,André Turpin,,,
136,André Téchiné,,,
137,André Øvredal,,,
138,Andrés Waissbluth,,,
139,Andrés Wood,,,
140,Andy Byatt,,,
141,Andy Jones,,,
142,Andy Sidorczuk,,,
143,Andy Wachowski,,,
144,Andy Warhol,,,
145,Ang Lee,,,
146,Angela Christlieb,,,
147,Angie Chen,,,
148,Ania Leszczynska,,,
149,Anita Dube,,,
150,Anja Kirschner,,,
151,Ann Hui,,,
152,Ann Turner,,,
153,Anna Biller,,,
154,Anna Boden,,,
155,Anna Novion,,,
156,Anne Fontaine,,,
157,Annette K. Olesen,,,
158,Annie Griffin,,,
159,Annie Sundberg,,,
160,Anthony Chen,,,
161,Anthony Drazan,,,
162,Anthony Minghella,,,
163,Antoine de Gaudemar,,,
164,Anton Corbijn,,,
165,Antonia San Juan,,,
166,Antonino Isordia,,,
167,Antonio Banderas,,,
168,Antonio Campos,,,
169,Antonio Chavarrías,,,
170,Antonio Cuadri,,,
171,Antonio Dorado,,,
172,Antonio Hens,,,
173,Antonio Hernández,,,
174,Antonio Luigi Grimaldi,,,
175,Anurag Kashyap,,,
176,Anusha Rizvi,,,
177,Anwar Jamal,,,
178,Aoyama Shinji,,,
179,Aparna Sen,,,
180,Apichatpong Weerasethakul,,,
181,Ari Alexander Ergis Magnusson,,,
182,Ari Folman,,,
183,Arik Kaplun,,,
184,Armando Iannucci,,,
185,Arnaud Desplechin,,,
186,Arnaud des Pallières,,,
187,Arnold Krøigaard,,,
188,Arthur Dong,,,
189,Arthur Joffé,,,
190,Arthur Penn,,,
191,Arturo Ripstein,,,
192,Asger Leth,,,
193,Asghar Farhadi,,,
194,Ashim Ahluwalia,,,
195,Ashish Avikunthak,,,
196,Ashley Horner,,,
197,Ashraf Abbas,,,
198,Ashutosh Gowariker,,,
199,Asier Altuna,,,
200,Asif Kapadia,,,
201,Asoka Handagama,,,
202,Astrid Henning-Jensen,,,
203,Asvin Kumar,,,
204,Athina Rachel Tsangari,,,
205,Atiq Rahimi,,,
206,Atom Egoyan,,,
207,Aubrey Lam,,,
208,Auraeus Solito,,,
209,Aurélien Froment,,,
210,Avgousta Zourelidi,,,
211,Avi Mograbi,,,
212,Ayelet Bechar,,,
213,Ayse Polat,,,
214,Azazel Jacobs,,,
215,B.Z. Goldberg,,,
216,Babak Payami,,,
217,Bady Minck,,,
218,Bae Chang-Ho,,,
219,Bahman Ghobadi,,,
220,Baltasar Kormakur,,,
221,Banksy,,,
222,Barbara Kopple,,,
223,Barbara Wong,,,
224,Barnaby Southcombe,,,
225,Barry Blaustein,,,
226,Barry Levinson,,,
227,Bart Layton,,,
228,Basil Dearden,,,
229,Basil Gepke,,,
230,Bavo Defurne,,,
231,Baz Luhrmann,,,
232,Becky Payne,,,
233,Ben Hopkins,,,
234,Ben Lewin,,,
235,Ben Rivers,,,
236,Ben Thomas,,,
237,Ben Timlett,,,
238,Ben Wheatley,,,
239,Benedict Erlingsson,,,
240,Benh Zeitlin,,,
241,Benicio del Toro,,,
242,Benito Zambrano,,,
243,Benjamin Turner,,,
244,Benjamin ávila,,,
245,Bennett Miller,,,
246,Benoit Jacquot,,,
247,Benoit Mariage,,,
248,Benoît Delépine,,,
249,Bent Hamer,,,
250,Bent Hammer,,,
251,Bernard Rose,,,
252,Bernardo Bertolucci,,,
253,Bert Stern,,,
254,Bertrand Bonello,,,
255,Bertrand Tavernier,,,
256,Bestar Cram,,,
257,Beto Brant,,,
258,Bette McLeod,,,
259,Bigas Luna,,,
260,Bijan Sheibani,,,
261,Bill Jones,,,
262,Bill Morrison,,,
263,Bille Eltrincham,,,
264,Billy Wilder,,,
265,Blake Edwards,,,
266,Bob Fosse,,,
267,Bob Giraldi,,,
268,Bob Kelljan,,,
269,Bob Rafelson,,,
270,Bob Smeaton,,,
271,Bob and Roberta Smith,,,
272,Bohdan Slama,,,
273,Bong Joon-ho,,,
274,Boodee Keerthisena,,,
275,Boris Baberkoff,,,
276,Borja Manso,,,
277,Bouli Lanners,,,
278,Bourhan Alawiyeh,,,
279,Brad Bird,,,
280,Brad Butler,,,
281,Brek Taylor,,,
282,Brett Morgan,,,
283,Brett Ratner,,,
284,Brian Clemens,,,
285,Brian Dannelly,,,
286,Brian De Palma,,,
287,Brian Desmond,,,
288,Brian Henson,,,
289,Brian Percival,,,
290,Brice Cauvin,,,
291,Brillante Mendoza,,,
292,Bruce La Bruce,,,
293,Bruce LaBruce,,,
294,Bruce McDonald,,,
295,Bruce Petty,,,
296,Bruce Robinson,,,
297,Bruce Weber,,,
298,Bruno Dumont,,,
299,Bruno Forzani,,,
300,Bruno Podalydés,,,
301,Bryan Forbes,,,
302,Burr Steers,,,
303,Buster Keaton,,,
304,Byambasuren Davaa,,,
305,Béla Tarr,,,
306,Cam Archer,,,
307,Camila Guzmán Urzúa,,,
308,Cao Fei,,,
309,Cao Hamburger,,,
310,Carine Adler,,,
311,Carl Boese,,,
312,Carl Franklin,,,
313,Carl Theodor Dreyer,,,
314,Carla Subirana,,,
315,Carles Torras,,,
316,Carlo Mazzacurati,,,
317,Carlo Verdone,,,
318,Carlos Armella,,,
319,Carlos Bolado,,,
320,Carlos Carrera,,,
321,Carlos Cuarón,,,
322,Carlos César Arbeláez,,,
323,Carlos Iglesias,,,
324,Carlos Larrondo,,,
325,Carlos Molinero,,,
326,Carlos Moreno,,,
327,Carlos Padrissa,,,
328,Carlos Reygadas,,,
329,Carlos Saura,,,
330,Carlos Serrano Azcona,,,
331,Carlos Sorin,,,
332,Carol Lai,,,
333,Carol Morley,,,
334,Carol Reed,,,
335,Caroline Link,,,
336,Carrie Cracknell,,,
337,Cary Fukunaga,,,
338,Cary Joji Fukunaga,,,
339,Cate Shortland,,,
340,Catherine Breillat,,,
341,Catherine Corsini,,,
342,Catherine Hardwicke,,,
343,Catherine Masud,,,
344,Catxo,,,
345,Cecilia Neant-Falk,,,
346,Cecilia Peck,,,
347,Cesc Gay,,,
348,Chandra Barot,,,
349,Chang Chen,,,
350,Chantal Akerman,,,
351,Charles Burnett,,,
352,Charles Crichton,,,
353,Charles Ferguson,,,
354,Charles Laughton,,,
355,Charles Russell,,,
356,Charles Vidor,,,
357,Charles Walters,,,
358,Charlie Ahearn,,,
359,Charlie Chaplin,,,
360,Charlie Fink,,,
361,Charlie Kaufman,,,
362,Cheick Fantamady Camara,,,
363,Cheik Doukouré,,,
364,Chema de la Peña,,,
365,Chen Chieh-jen,,,
366,Chen Kaige,,,
367,Chiman Rahimi,,,
368,Chiqui Carabante,,,
369,Chris Atkins,,,
370,Chris Brown,,,
371,Chris Columbus,,,
372,Chris Gardner,,,
373,Chris Hall,,,
374,Chris Hegedus,,,
375,Chris Kraus,,,
376,Chris Marker,,,
377,Chris Morris,,,
378,Chris Paine,,,
379,Chris Paul Daniels,,,
380,Chris Smith,,,
381,Chris Waitt,,,
382,Christian Carion,,,
383,Christian Fauré,,,
384,Christian Frei,,,
385,Christian Molina,,,
386,Christian Petzold,,,
387,Christian Volckman,,,
388,Christine Jeffs,,,
389,Christine Molloy,,,
390,Christoffer Boe,,,
391,Christophe Barratier,,,
392,Christophe Gans,,,
393,Christophe Honoré,,,
394,Christopher Doyle,,,
395,Christopher Guest,,,
396,Christopher Martin,,,
397,Christopher McQuarrie,,,
398,Christopher Nolan,,,
399,Chuan Lu,,,
400,Chuck Parello,,,
401,Chus Gutiérrez,,,
402,Ciro Guerra,,,
403,Claire Denis,,,
404,Claude Chabrol,,,
405,Claude Friese-Greene,,,
406,Claude Miller,,,
407,Claude Nuridsany,,,
408,Claudia Llosa,,,
409,Claudio Von Planta,,,
410,Clement Cheng,,,
411,Clint Eastwood,,,
412,Clio Barnard,,,
413,Clive Donner,,,
414,Clyde Bruckman,,,
415,Coco Schreiber,,,
416,Col Spector,,,
417,Colin Trevorrow,,,
418,Coline Serreau,,,
419,Connor Clements,,,
420,Conor McPherson,,,
421,Constance Marks,,,
422,Constantin Popescu,,,
423,Coralie Trinh Thi,,,
424,Corneliu Porumboiu,,,
425,Courtney Hunt,,,
426,Craig Gillespie,,,
427,Craig Teper,,,
428,Craig Zobel,,,
429,Cristi Puiu,,,
430,Cristian Mungiu,,,
431,Cristian Nemescu,,,
432,Cristina Comencini,,,
433,Cristián Jiménez,,,
434,Cyril Coke,,,
435,Cédric Kahn,,,
436,Cédric Klapisch,,,
437,Céline Sciamma,,,
438,César Charlone,,,
439,D.A. Pennebaker,,,
440,D.G. Phalke,,,
441,D.R. Hood,,,
442,Dagur Kári,,,
443,Dai Sijie,,,
444,Dalia Hager,,,
445,Damian Pettigrew,,,
446,Damien O'Donnell,,,
447,Damien Odoul,,,
448,Damjan Kozole,,,
449,Dan Grover,,,
450,Dan Harris,,,
451,Dan Ollman,,,
452,Dana Lustig,,,
453,Danae Elon,,,
454,Danial Burman,,,
455,Daniel Alfredson,,,
456,Daniel Auteuil,,,
457,Daniel Burman,,,
458,Daniel Calparsoro,,,
459,Daniel Cebrián,,,
460,Daniel Fridell,,,
461,Daniel Garcia,,,
462,Daniel Geller,,,
463,Daniel Gordon,,,
464,Daniel Hendler,,,
465,Daniel Kolo Sanou,,,
466,Daniel McPake,,,
467,Daniel Monzón,,,
468,Daniel Myrick,,,
469,Daniel Nettheim,,,
470,Daniel Sekulich,,,
471,Daniel Sánchez Arévalo,,,
472,Daniel Sánchez Arévelo,,,
473,Daniel Vega Vidal,,,
474,Daniela Fejerman,,,
475,Daniela Thomas,,,
476,Daniele Luchetti,,,
477,Danis Tanovic,,,
478,Danièle Thompson,,,
479,Danny,,,
480,Danny Boyle,,,
481,Danny O'Connor,,,
482,Danny Verete,,,
483,Dante Lam,,,
484,Dany Boon,,,
485,Dario Argento,,,
486,Darren Aronofsky,,,
487,Dave McKean,,,
488,Davey Frankel,,,
489,David Butler,,,
490,David Cronenberg,,,
491,David Fincher,,,
492,David France,,,
493,David Gordon Green,,,
494,David L Williams,,,
495,David LaChapelle,,,
496,David Lambert,,,
497,David Lane,,,
498,David Leaf,,,
499,David Lean,,,
500,David Lillo,,,
501,David Lowery,,,
502,David Lynch,,,
503,David MacKenzie,,,
504,David Mamet,,,
505,David Menkes,,,
506,David Michôd,,,
507,David Moreton,,,
508,David Morris,,,
509,David Ondricek,,,
510,David Panos,,,
511,David Pastor,,,
512,David Planell,,,
513,David Riker,,,
514,David Siegal,,,
515,David Siegel,,,
516,David Sington,,,
517,David Thompson,,,
518,David Tomkins,,,
519,David Ulloa,,,
520,David Yates,,,
521,David Zellner,,,
522,David. O. Russell,,,
523,Davide Ferrario,,,
524,Davis Guggenheim,,,
525,Dayna Goldfine,,,
526,Dean Deblois,,,
527,Dean Threadgold,,,
528,Deborah Day,,,
529,Deborah Dickson,,,
530,Deborah Hoffman,,,
531,Deborah Warner,,,
532,Debra Granik,,,
533,Declan Lowney,,,
534,Deepa Mehta,,,
535,Delphine Gleize,,,
536,Demian Sabini,,,
537,Denis Dercourt,,,
538,Denis Villeneuve,,,
539,Dennis Gansel,,,
540,Dennis Hopper,,,
541,Dennis O’Rourke,,,
542,Denys Arcand,,,
543,Derek Beaumont,,,
544,Derek Cianfrance,,,
545,Derek Jarman,,,
546,Derek Kwok,,,
547,Derick Martini,,,
548,Destin Cretton,,,
549,Detlev Buck,,,
550,Diana Groó,,,
551,Diane Crespo,,,
552,Diane Kurys,,,
553,Dick Carruthers,,,
554,Dick Jewell,,,
555,Diego Galán,,,
556,Diego Lerman,,,
557,Diego Luna,,,
558,Diego Quemada-Díez,,,
559,Diego Vega Vidal,,,
560,Diego Velasco,,,
561,Dilip Mehta,,,
562,Dir Joseph von Sternberg,,,
563,Dir Majid Majidi,,,
564,Dir Raoul Walsh,,,
565,Dirk Simon,,,
566,Dito Montiel,,,
567,Djamila Sahraoui,,,
568,Djo Munga,,,
569,Dom Rotheroe,,,
570,Dominga Sotomayor Castillo,,,
571,Dominic Cooke,,,
572,Dominic Durham,,,
573,Dominic Harari,,,
574,Dominik Moll,,,
575,Dominique Cardona,,,
576,Dominique Standaert,,,
577,Don Argott,,,
578,Don Chaffey,,,
579,Don Letts,,,
580,Don Siegel,,,
581,Donald Cammell,,,
582,Donatella Maiorca,,,
583,Doris Dörrie,,,
584,Dorota Kedzierzawska,,,
585,Doug McGrath,,,
586,Doug Pray,,,
587,Douglas Camfield,,,
588,Douglas Crawford,,,
589,Douglas Gordon,,,
590,Douglas Sirk,,,
591,Dov Gil-Har,,,
592,Dover Kosashvili,,,
593,Drake Doremus,,,
594,Dror Moreh,,,
595,Duane Hopkins,,,
596,Duncan Jones,,,
597,Duncan Tucker,,,
598,Dunia Asayo,,,
599,Dunia Ayaso,,,
600,Duscan Makavejev,,,
601,Dustin Hoffman,,,
602,Dyl 'Goch' Jones,,,
603,Dylan Goch,,,
604,Dylan Kidd,,,
605,Dylan Southern,,,
606,Dörte Franke,,,
607,E J-Yong,,,
608,E. Elias Merhige,,,
609,Ebrahim Saeedi,,,
610,Ed Harris,,,
611,Eddie Robson,,,
612,Eddy Moretti,,,
613,Edgar Morin,,,
614,Edgar Reitz,,,
615,Edgar Wright,,,
616,Edoardo Winspeare,,,
617,Eduard Cortés,,,
618,Eduardo Mignogna,,,
619,Eduardo Milwicz,,,
620,Edward Bennett,,,
621,Edward Styles,,,
622,Edward Yang,,,
623,Elaine Constantine,,,
624,Eleanor Marechal,,,
625,Elem Klimov,,,
626,Elia Kazan,,,
627,Elia Suleiman,,,
628,Elisabet Cabeza,,,
629,Elizabeth Mitchell,,,
630,Elle Flanders,,,
631,Ellen Seidler,,,
632,Elliot Berlin,,,
633,Eluardo Sanchez,,,
634,Emad Ali,,,
635,Emanuele Crialese,,,
636,Emeric Pressburger,,,
637,Emilio Aragón,,,
638,Emilio Fernández,,,
639,Emilio Maillé,,,
640,Emilio Martínez-Lazaro,,,
641,Emilio Vieyra,,,
642,Emily James,,,
643,Emir Kusturica,,,
644,Emma Bernard,,,
645,Emmanuel Carrère,,,
646,Emmanuel Laurent,,,
647,Enric Folch,,,
648,Enrico Pau,,,
649,Enrique Fernández,,,
650,Enrique Gabriel,,,
651,Enrique Rivero,,,
652,Eran Kolirin,,,
653,Eran Riklis,,,
654,Erez Tadmor,,,
655,Eric Barbier,,,
656,Eric Khoo,,,
657,Eric Lahgras,,,
658,Eric Lartigau,,,
659,Eric Mendelsohn,,,
660,Eric Rohmer,,,
661,Eric Toledano,,,
662,Eric Valli,,,
663,Erick Zonca,,,
664,Erik Knudsen,,,
665,Erik Poppe,,,
666,Erik Skjoldbærg,,,
667,Ermanno Olmi,,,
668,Ernest B. Schoedsack,,,
669,Ernesto Contreras,,,
670,Ernst Lubitsch,,,
671,Errol Morris,,,
672,Erroll Morris,,,
673,Esteban Larraín,,,
674,Esteban Menis,,,
675,Esteban Sapir,,,
676,Estephan Wagner,,,
677,Esteve Riambau,,,
678,Eterio Ortega,,,
679,Ethan Coen,,,
680,Etienne Chatiliez,,,
681,Ettore Scola,,,
682,Euzhan Palcy,,,
683,Eva Lesmes,,,
684,Everardo Gónzalez,,,
685,Ewald Andre Dupont,,,
686,Eytan Fox,,,
687,F. Javier Gutiérrez,,,
688,F.W. Murnau,,,
689,FW Murnau,,,
690,Fabián Bielinsky,,,
691,Fabrice Du Welz,,,
692,Fabrizio Lazzaretti,,,
693,Fanny Armstrong,,,
694,Fanta Régina Nacro,,,
695,Faouzi Bensaidi,,,
696,Fatih Akin,,,
697,Federico Fellini,,,
698,Felipe Cazals,,,
699,Felix Sabroso,,,
700,Felix Van Groeningen,,,
701,Feng Xiaogang,,,
702,Fenton Bailey,,,
703,Feo Aladag,,,
704,Fernando Colomo,,,
705,Fernando De Fuentes,,,
706,Fernando Eimbcke,,,
707,Fernando Fernán Gómez,,,
708,Fernando Guillén Cuervo,,,
709,Fernando Léon de Aranoa,,,
710,Fernando Meirelles,,,
711,Fernando Méndez,,,
712,Fernando Pérez,,,
713,Fernando Solanas,,,
714,Fernando Trueba,,,
715,Fernán Rudnik,,,
716,Ferzan Ozpetek,,,
717,Filip Remunda,,,
718,Fina Torres,,,
719,Fiorella Infascelli,,,
720,Florent de La Tullaye,,,
721,Florian Habicht,,,
722,Florian Henckel von Donnersmarck,,,
723,Franc Roddam,,,
724,Frances Lea,,,
725,Frances Reid,,,
726,Francesco Munzi,,,
727,Francis Ford Coppola,,,
728,Francis Veber,,,
729,Francisco Vargas,,,
730,Franco Rossi,,,
731,Franco Zeffirelli,,,
732,Frank Capra,,,
733,Frank Hurley,,,
734,Frank Madone,,,
735,Frank Miller,,,
736,Frank Osten,,,
737,Frank Ripploh,,,
738,Frank Tashlin,,,
739,Franny Armstrong,,,
740,Franz Osten,,,
741,François Armanet,,,
742,François Dupeyron,,,
743,François Ozon,,,
744,François Truffaut,,,
745,Fred Cavayé,,,
746,Fred Kihn,,,
747,Fred Zinnemann,,,
748,Frederic Fonteyne,,,
749,Frederick Wiseman,,,
750,Fridrik Thor Fridriksson,,,
751,Fritz Lang,,,
752,Fruit Chan,,,
753,Frédéric Auburtin,,,
754,Fung King-long,,,
755,Félix Viscarret,,,
756,GW Pabst,,,
757,Gabe Turner,,,
758,Gabriel Axel,,,
759,Gabriel Medina,,,
760,Gabriel Nesci,,,
761,Gabriel Velázquez,,,
762,Gabriela Cowperthwaite,,,
763,Gabriele Muccino,,,
764,Gabriele Salvatores,,,
765,Gael García Bernal,,,
766,Gakuryu Ishii,,,
767,Gareth Davies,,,
768,Garin Nugroho,,,
769,Gary Hustwit,,,
770,Gary Sherman,,,
771,Gary Winick,,,
772,Gaspar Noé,,,
773,Gastón Biraben,,,
774,Gavin Hood,,,
775,Gaël Morel,,,
776,Geir Hansteen Jörgensen,,,
777,Gela Babluani,,,
778,Gene Kelly,,,
779,Geoffrey Einthoven,,,
780,Geoge Kuchar,,,
781,George Armitage,,,
782,George Clooney,,,
783,George Cukor,,,
784,George Dunning,,,
785,George Kuchar,,,
786,George Romero,,,
787,George Seaton,,,
788,George Sidney,,,
789,George Stevens,,,
790,Georges Franju,,,
791,Georges Hachem,,,
792,Gerado Vera,,,
793,Gerard Pirès,,,
794,Gerardo Chijona,,,
795,Gerardo Naranjo,,,
796,Gerardo Tort,,,
797,Gerardo Vera,,,
798,Gereon Wetzel,,,
799,Germaine Dulac,,,
800,Gian Paolo Cugno,,,
801,Gianni Amelio,,,
802,Gianni Di Gregorio,,,
803,Giddens Ko,,,
804,Gideon Koppel,,,
805,Gilberto Martinez Solares,,,
806,Gilles Bourdos,,,
807,Gilles Paquet-Brenner,,,
808,Gillian Armstrong,,,
809,Gillian Wearing,,,
810,Gillies MacKinnon,,,
811,Gillo Potecorvo,,,
812,Giorgos Lanthimos,,,
813,Giovanni Veronesi,,,
814,Giuseppe Tornatore,,,
815,Glenn Leyburn,,,
816,Gonzalo Lopez-Gallego,,,
817,Gonzalo Suárez,,,
818,Goran Hugo Olsson,,,
819,Gordon Flemyng,,,
820,Gordon Parks,,,
821,Goro Miyazaki,,,
822,Gough Lewis,,,
823,Graham Clayton-Chance,,,
824,Grant Gee,,,
825,Grant Heslov,,,
826,Greg Araki,,,
827,Greg Camalier,,,
828,Greg Hall,,,
829,Greg Olliver,,,
830,Gregg Araki,,,
831,Gregg Gribbs,,,
832,Gregory Doran,,,
833,Grigori Kosintsev,,,
834,Grojo,,,
835,Gruff Rhys,,,
836,Guido Manuli,,,
837,Guillaume Canet,,,
838,Guillaume Nicloux,,,
839,Guillem Morales,,,
840,Guillermo Arriaga,,,
841,Guillermo Fesser,,,
842,Guillermo Ibanez,,,
843,Guillermo del Toro,,,
844,Gunther von Fritsch,,,
845,Gurinder Chadha,,,
846,Gus Van Sant,,,
847,Gustave Kervern,,,
848,Gustavo Gamou,,,
849,Gustavo Hernandez,,,
850,Gustavo Taretto,,,
851,Guy Hamilton,,,
852,Guy Maddin,,,
853,Guy Nativ Israel,,,
854,Gwen Haworth,,,
855,György Pálfi,,,
856,Gérard Corbiau,,,
857,Gérard Depardieu,,,
858,Göran Olsson,,,
859,Götz Spielmann,,,
860,Haifaa Al-Mansour,,,
861,Haim Tabakman,,,
862,Hal Ashby,,,
863,Hal Haberman,,,
864,Hala Lotfy,,,
865,Hamish Hamilton,,,
866,Hammad Khan,,,
867,Hana Makhmalbaf,,,
868,Hanan Abdalla,,,
869,Hanif Kureishi,,,
870,Hannah Morgan,,,
871,Hannes Stöhr,,,
872,Hanno Höfer,,,
873,Hans Fjellestad,,,
874,Hans Weingartner,,,
875,Hans-Christian Schmid,,,
876,Hansjürgen Pohland,,,
877,Hany Abu-Assad,,,
878,Harmony Korine,,,
879,Harold Ramis,,,
880,Haroun Farocki,,,
881,Harry Farnham,,,
882,Harry O. Hoyt,,,
883,Haskell Wexler,,,
884,Hassan Ali Mahmud,,,
885,Hattie MacDonald,,,
886,Hayao Miyazaki,,,
887,He Park Heungsik,,,
888,Heather Tobin,,,
889,Hector Babenco,,,
890,Heidi Ewing,,,
891,Heiward Mak,,,
892,Helen Ahlsson,,,
893,Helen Gaynor,,,
894,Helen Stickler,,,
895,Helena Taberna,,,
896,Helke Sander,,,
897,Hellmuth Costard,,,
898,Helmut Käutner,,,
899,Henri-George Clouzot,,,
900,Henrique Goldman,,,
901,Henry Bean,,,
902,Henry Joost,,,
903,Henry Koster,,,
904,Herb Hsu Li-wen,,,
905,Herman Axelbank,,,
906,Hideo Nakata,,,
907,Hiner Saleem,,,
908,Hirokazu Kore-Eda,,,
909,Hirokazu Koreeda,,,
910,Hiromasa Yonebayashi,,,
911,Hiyao Miyazaki,,,
912,Hong Khaou,,,
913,Hong Sangsoo,,,
914,Hong-Jin Na,,,
915,Hossein Amini,,,
916,Hou Hsiao-hsien,,,
917,Howard Davies,,,
918,Howard Hawks,,,
919,Huang Wenhai,,,
920,Hubert Sauper,,,
921,Hugh Hartford,,,
922,Hugo Rodríguez,,,
923,Husen Hasan,,,
924,Hélène Cattet,,,
925,Ibrahim El Batout,,,
926,Ice-T,,,
927,Icíar Bollaín,,,
928,Ida Lupino,,,
929,Ido Haar,,,
930,Idrissa Ouedraogo,,,
931,Ignacio Castillo Cottin,,,
932,Ignacio Ferreras,,,
933,Il-Gon Song,,,
934,Ilan Saragosti,,,
935,Ilil Alexander,,,
936,Imanol Uribe,,,
937,Ineke Houtman,,,
938,Ingmar Bergman,,,
939,Inés Paris,,,
940,Ioana Uricaru,,,
941,Ionathan Klajman,,,
942,Ira Sachs,,,
943,Irving Rapper,,,
944,Isaac Julien,,,
945,Isaac P. Racine,,,
946,Isabel Coixet,,,
947,Isao Takahata,,,
948,Ishiro Honda,,,
949,Isidro Ortiz,,,
950,Ismail Merchant,,,
951,Ismaël Ferroukhi,,,
952,Israel Adrián Caetano,,,
953,Israel Cárdenas,,,
954,Issac Eppel,,,
955,Issac Julien,,,
956,Istvan Szabo,,,
957,Itzel Martinez,,,
958,Ivan Zulueta,,,
959,Ivo Gormley,,,
960,Ivy Ho,,,
961,Iván Mora Manzano,,,
962,J. B. L. Noel,,,
963,J. Lee Thompson,,,
964,Jack Clayton,,,
965,Jack Gold,,,
966,Jack Rosenthal,,,
967,Jack Tew,,,
968,Jacques Audiard,,,
969,Jacques Demy,,,
970,Jacques Deray,,,
971,Jacques Maillot,,,
972,Jacques Martineau,,,
973,Jacques Perretti,,,
974,Jacques Perrin,,,
975,Jacques Rivette,,,
976,Jacques Tati,,,
977,Jacques Tourneur,,,
978,Jacquest Tourner,,,
979,Jacqui Morris,,,
980,Jafar Panahi,,,
981,Jaime Camino,,,
982,Jaime Marqués Olarreaga,,,
983,Jaime Rosales,,,
984,Jaime de Armiñán,,,
985,Jairo Carrillo,,,
986,Jalil Lespert,,,
987,Jalmari Helander,,,
988,Jameel Kazmi,,,
989,James Bolton,,,
990,James Erskine,,,
991,James Fisher,,,
992,James Foley,,,
993,James Hersoy,,,
