event_id,title,alternative_title,release_year,certificate,languages,duration,country_of_origin,actors,is_live
27806,Micmacs,(Micmacs à tire-larigot),2009,12A,French,102,France,"Nicholas Marie, Jean-Pierre Marielle, Dany Booth, André Dussollier",0
27815,The Last Station,,2009,15,English,110,"Russia, Germany","Paul Giamatti, James MacAvoy, Helen Mirren, Christopher Plummer",0
27828,Children of Men,,2006,15,English,109,Great Britain,"Michael Caine, Julianne Moore, Clive Owen",0
27832,The Headless Woman,La mujer sin cabeza,2008,12A,Spanish,87,"Spain, Italy, France, Argentina","María Onetto, Inés Efron, Claudia Cantero, César Bordón",0
27837,Capitalism: A Love Story,,2009,12A,English,127,US,,0
27839,If You Are The One,,2008,12A,Mandarin,130,China,"Shu Qi, Ge You, Alex Fong",0
27843,Burlesque Undressed,,2009,15,English,89,Great Britain,,0
27845,Footsteps,Comme Ton Pere,2007,12A,French,95,France,"Yaël Abecassis, Gad Elmaleh",0
27847,The Girl on The Train,La Fille du RER,2009,15,French,105,France,"Ronit Elkabetz, Michel Blanc, Emilie Dequenne, Catherine Deneuve",0
27851,Po-lin,,2008,U,Polish,82,"Poland, Germany",,0
27853,Eli and Ben,,2009,PG,Hebrew,89,Israel,"Yuval Shevah, Lior Ashkenazi",0
27855,Amos Oz: The Nature of Dreams,,2009,PG,"English, Hebrew",86,Israel,,0
27857,Beyond The Pole,,2009,15,English,87,Great Britain,"Stephen Mangan, Rhys Thomas, Alexander Skarsgard",0
27861,Mal día para pescar,Bad Day to Go Fishing,2009,12A,Spanish,110,Uruguay,"Jouko Ahola, Gary Piquer, César Troncoso, Antonella Costa",0
27870,El viaje de Teo,Teo’s Journey,2008,12A,Spanish,90,Mexico,"Joaquín Cosio, Erick Cañete, Damián Alcázar, Dagoberto Gama",0
27873,Little Indi,Petit Indi,2009,18,Catalan,92,"Spain, France","Sergi Lopez, Marc Soto, Eulalia Ramón, Eduardo Noriega",0
27879,La Ventana,The Window,2009,PG,Spanish,85,"Spain, Argentina","María del Carmen Jiménez, Jorge Díez, Emilse Roldán, Antonio Larreta",0
27884,La vergüenza,The Shame,2009,12A,Spanish,107,Spain,"Norma Martínez, Natalia Mateo, Marta Aledo, Esther Ortega, Alberto San Juan",0
27889,Plan B/ Preview Screening,,2009,12A,Spanish,103,Argentina,"Manuel Vignau, Lucas Ferraro, Damián Canducci",0
27893,La teta asustada/ Preview Screening,The Milk of Sorrow,2009,15,"Quechua, Spanish",94,"Spain, Peru","Susi Sanchez, Marino Ballon, Magaly Solier, Efrain Solis",0
27898,Gigante/ Preview Screening,,2008,PG,Spanish,90,Uruguay,"Leonor Svarcas, Horacio Camandulle",0
27903,La Buena Nueva,The Good News,2008,15,Spanish,103,Spain,"Unax Ugalde, Guillermo Toledo, Gorka Aginagalde, Bárbara Goenaga",0
27907,El Paraíso Travel,,2008,15,Spanish,116,Colombia,"Raúl Castillo, Margarita Rosa de Franscisco, Angelica Blandon, Aldemar Correa",0
27910,Parque Vía,,2008,15,Spanish,86,Mexico,"Tesalia Huerta, Nolberto Coria, Nancy Orozco",0
27913,Retorno a Hansala,Return to Hansala,2008,15,Spanish,95,Spain,"José Luis García-Pérez, Farah Hamed, Antonio de la Torre, Adam Bounouacha",0
27917,Los Años Desnudos: Clasificada ‘S’,The Naked Years,,18,Spanish,95,Spain,"Mar Flores, Luis Zahera, Goya Toledo, Candela Pena, Antonio de la Torre",0
27921,Daniel and Ana,,2009,18,Spanish,90,Mexico,"Marimar Vega, Darío Yazbek Bernal",0
27924,Amorosa Soledad,Lovely Loneliness,2008,12A,Spanish,82,Argentina,"Nicolás Pauls, Monica Gonzaga, Inés Efron, Fabián Vena",0
27929,Solo Quiero Caminar,Just Walking,2008,18,Spanish,129,Mexico,"Victoria Abril, Diego Luna, Ariadna Gil",0
27932,Cortos/ Almería International Short Film Festival,,,15,Spanish,78,,,0
27937,La mitad del cielo,Half of Heaven,1986,12A,Spanish,127,Spain,"Margarita Lozano, Fernando Fernán Gómez, Antonio Valero, Angela Molina",0
27939,The Short Films of Luis Arambilet,,,12A,Spanish,,,,0
27942,"Food, Inc",,2008,PG,English,94,US,,0
27949,Exit Through the Gift Shop,,2009,15,English,85,"US, Great Britain","Space Invader, Shepard Fairey, Rhys Ifans, Banksy",0
27952,The Girl with the Dragon Tattoo (2010),Män som hatar kvinnor,2009,18,Swedish,152,Sweden,"David Dencik, Michael Nyqvist, Noomi Rapace, Peter Haber",0
27959,The Kreutzer Sonata,,2008,18,English,100,US,"Elisabeth Röhm, Danny Huston, Anjelica Huston",0
27961,The Godfather Part II,,1974,15,English,202,US,"Talia Shire, Robert Duvall, Robert De Niro, Diane Keaton, Al Pacino",0
27966,Lion's Den,Leonera,2008,15,Spanish,113,Argentina,"Rodrigo Santoro, Martina Gusman, Elli Medeiros",0
27970,The Hurt Locker,,2009,15,English,131,US,"Ralph Fiennes, Jeremy Renner, Guy Pearce, David Morse, Anthony Mackie",0
27974,Lourdes,,2009,U,French,100,France,"Sylvie Testud, Lea Seydoux, Gilette Barbier",0
27986,Samson & Delilah,,2009,15,English,101,Australia,"Rowan McNamara, Marissa Gibson",0
27991,Double Take,,2009,12A,English,80,Great Britain,Alfred Hitchcock,0
27995,I Am Love,Io sono l’amore,2009,15,Italian,119,Italy,"Tilda Swinton, Gabriele Ferzetti",0
28005,Storm,,2009,15,"Bosnian, English, German, Serbian",110,Denmark,"Stephen Dillane, Kerry Fox, Anamaria Marinca",0
28008,The Ghost,,2010,15,English,128,US,"Pierce Brosnan, Olivia Williams, Kim Cattrall, Ewan McGregor",0
28017,Psycho,,1960,15,English,108,US,"Vera Miles, Janet Leigh, Anthony Perkins",0
28018,Life During Wartime,,2009,15,English,97,US,"Ciaran Hinds, Charlotte Rampling, Ally Sheedy",0
28025,La Danse: The Paris Opera Ballet,,2009,PG,"English, French",159,"US, France",,0
28030,Dogtooth,Kynodontas,2009,18,Greek,97,Greece,"Michelle Valley, Christos Stergioglou, Aggeliki Papoulia",0
28034,A Boy Called Dad/ Preview,,2009,15,English,80,Great Britain,"Steve Evets, Louise Delamere, Kyle Ward, Ian Hart",0
28040,Paromita Vohra Double Bill,,2006,12A,"English, Hindi",84,India,,0
